employee_number|employee_grade|local_expat|assignment_status|employee_depute_branch|region|geography|group_customer|project_iou|project_type|department|employee_parent_iou|mapped_parent_ou_excluding_bps|mapped_sub_iou_parent_ou_excluding_bps|mapped_project_ou|mapped_sub_project_ou|tcs_exp|total_rel_exp|won_swon|delivery_unit|bg|emp_role|mlt_pool_category|status|completion_certification_id|completion_certification_name|completion_date
532799|C3B|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|18.3|WON|IS-BFSI-Europe Central-Parent|BFSI|Lead|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|17/04/2021
496468|C3A|Expat|Long Term US|TCS - Sunnyvale|United States|NORTH AMERICA|Group Client - Zurich Insurance Group Ltd|IS-BFSI-US West-Parent|TIME AND MATERIAL|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US West-Parent|IS-BFSI-US West 1.6-Group6|1+ yrs in TCS|11.3|WON|BFSI-CBO-Parent|BFSI|Technical Architect|Generic|Completed|1290|AWS Certified Solutions Architect - Associate Level Certification|06/10/2022
1210554|C3B|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|12.99|WON|IS-BFSI-Europe Central-Parent|BFSI|Scrum Master|Generic|Completed|#N/A|#N/A|#N/A
1008863|C3A|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|10.87|WON|IS-BFSI-Europe Central-Parent|BFSI|Technical Lead|Generic|Completed|16232|Domain : The Influencer Program_E2_Curriculum|03/09/2022
860364|C3B|Expat|Active Assignment|TCS - London|United Kingdom|UK|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|BFSI-Analytics & Insights-Parent|BFSI-Analytics & Insights-Parent|BFSI-A&I-Business Analytics 1.0|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|13.55|WON|BFSI-Analytics & Insights-Parent|BFSI|Developer|Generic|FY22 Completion|13036|Google Cloud Certified Associate Cloud Engineer Certification|13/05/2021
1260673|C3A|Local|Active Assignment|TCS - New Delhi|Delhi|INDIA|Group Client - Deutsche Bank|IS-BFSI-Europe Central-Parent|JOB|CC|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|IS-BFSI-Europe Central-Parent|IS-BFSI-Europe Central 1.1-Group1|1+ yrs in TCS|11.15|WON|IS-BFSI-Europe Central-Parent|BFSI|Developer|Generic|Completed|16232|Domain : The Influencer Program_E2_Curriculum|30/08/2022
185815|C4|Local|Active Assignment|TCS - Philadelphia PA|United States|NORTH AMERICA|Group Client - JP Morgan Chase|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Large Bank/Mortgage|IS-BFSI-US East-Parent|BFSI US East - Large Bank/Mortgage|1+ yrs in TCS|18.79|WON|IS-BFSI-US East-Parent|BFSI|Business Relationship Manager|Leadership and Sales|Completed|13873|LDP : Ambassador Corps - Global SalesÂ  training program|11/06/2022
181012|C4|Local|Active Assignment|TCS - Mumbai|Mumbai|INDIA||CL-BFSI|OPEX|CC|CL-BFSI|CL-BFSI|IS-BFSI-1.0|CL-BFSI|IS-BFSI-1.0|1+ yrs in TCS|16.65|SWON|CL-BFSI|BFSI|Solution Architect|Generic|Completed|#N/A|#N/A|#N/A
1723001|C3B|Local|Active Assignment|TCS - Kolkata|Kolkata|INDIA|Group Client - Pacific Mutual Holding Company|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|14.21|WON|BFSI-Enterprise Application Services - Parent|BFSI|Technical Lead|Generic|Completed|13655|MuleSoft Certified Developer - Level 1 (Mule 4) Certification|21/06/2022
183347|C3B|Local|Active Assignment|TCS - Chennai|Chennai|INDIA|Group Client - ABN Amro|IS-BFSI-Europe NW-Parent|TIME AND MATERIAL|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-Europe NW-Parent|IS-BFSI-Europe NW 1.1-Group1|1+ yrs in TCS|18.43|WON|BFSI-Enterprise Application Services - Parent|BFSI|Project Manager|Generic|FY22 Completion|18567|Oracle Cloud Infrastructure Foundations 2021 Associate Certification|02/02/2022
162547|C3B|Expat|Long Term US|TCS - NEW YORK 1 NY|United States|NORTH AMERICA|Group Client - New York Life Insurance Company|IS-BFSI-US East-Parent|TURNKEY|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|19.54|WON|IS-BFSI-US East-Parent|BFSI|Program Manager|Generic|FY22 Completion|4164|Associate, Customer Service - ACS: Life Insurance Certification|11/03/2017
473255|C3B|Expat|Active Assignment|TCS - Edinburgh|United Kingdom|UK|Group Client - Lloyds Banking Group plc|IS-BFSI-UK 1-Parent|JOB|CC|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services - Parent|BFSI-Enterprise Application Services 1.0|IS-BFSI-UK 1-Parent|IS-BFSI-UK 1.1-Group1|1+ yrs in TCS|11.62|WON|BFSI-Enterprise Application Services - Parent|BFSI|Technical Lead|Generic|FY22 Completion|10930|Pega Certified Senior System Architect (CSSA)|06/12/2020
335305|C3B|Local|Active Assignment|TCS - Kolkata|Kolkata|INDIA|Group Client - CITIGROUP|IS-BFSI-US SE & Latam-Parent|TIME AND MATERIAL|CC|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|IS-BFSI-US SE & Latam-Parent|IS-BFSI-US SE&Latam 1.3-Group3|1+ yrs in TCS|12.81|WON|IS-BFSI-US SE & Latam-Parent|BFSI|Project Manager|Generic|Completed|#N/A|#N/A|#N/A
778077|C3B|Expat|Active Assignment|TMCV - Mexico City|Mexico|LATAM|Group Client - New York Life Insurance Company|IS-BFSI-US East-Parent|JOB|CC|BFSI-CBO-Parent|BFSI-CBO-Parent|BFSI-CBO-Infrastructure Services 1.0|IS-BFSI-US East-Parent|BFSI US East - Mid-Atlantic|1+ yrs in TCS|14.43|WON|BFSI-CBO-Parent|BFSI|Service Delivery Manager|Generic|Completed|13905|ITIL Foundation Certificate in IT Service Management (Version 4) Certification|26/07/2020
156160|C3B|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - COMMONWEALTH BANK OF AUSTRALIA|IS-BFS7-Parent|TURNKEY|CC|IS-BFS7-Parent|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|IS-BFS7-Parent|IS-BFS7-ANZ 1.1-Group1|1+ yrs in TCS|17.54|WON|IS-BFS7-Parent|BFSI|Agile Coach|Generic|Completed|3854|Professional Scrum Master II Certification|24/06/2022
530114|C3A|Local|Active Assignment|TCS - Bangalore|Bangalore|INDIA|Group Client - PNC|IS-BFSI-US East-Parent|TIME AND MATERIAL|CC|IS-BFSI-US East-Parent|IS-BFSI-US East-Parent|BFSI US East - PA & MI|IS-BFSI-US East-Parent|BFSI US East - PA & MI|1+ yrs in TCS|11.05|WON|IS-BFSI-US East-Parent|BFSI|Lead|Generic|Completed|13557|Tableau Desktop Specialist Certification|15/04/2022
